Scientific name,Common name,Height in m,Trunk circumference in m,Varities,Energy kcal,Number of countries,Number of products,Flower color,Fruit color,Leaf color,Demand in the market,have you seen this plant,Name of your state,Your name
Mangifera indica,Mango,40,3.7,250,250,8,12,red_yellow,orange,green,High,Yes,Andhra Pradesh,Saneesh
psidium guajava,guava ,6,NA,30,68,10,11,white,pink and white (inside) green (outside),deep green ,High ,Yes,Telangana,Kruthagna
carica papaya,papaya,8-10,NA,14,120,10,9,yellow - orange ,yellow,green-yellow or bronze ,high ,yes,Telangana,Kruthagna
Pyrus malus,Apple,5-10,NA,24,95,10,27,pure white blossom,"red, green, or yellow in colour",dark green-colored ,High,No,Telangana,DurgaBhavani
Punica granatum,Pomegranate,5-10,NA,6,83,17,9,"red, orange or pink in color. ",Red-purple in color,"shiny green,",High,Yes,Telangana,DurgaBhavani
Vitis Vinifera,Grapes,More than 10,NA,20,69,92,8,white,"green, red, black, blue",dark neutral tode green,High,Yes,West Bengal ,Monami
Artocarpus heterophyllus,Jackfruit,15 to 20,0.3-0.8,2,155,12,12,yellow ,greenish yellow,light green to dark green ,High,Yes,West Bengal ,Monami 
Prunusavium,Cherry,upto 11,NA,100,17.6,20,1,"pink, yellow, white","red, pink",bronze to orange red,High,Yes,West Bengal ,Proshakha 
Ficuscarica,Fig,10 to 12,NA,700,37,9,1,"white, pink",purple,dark green,Medium ,Yes,West Bengal,Proshakha 
Anacardium occidentale,Cashew,upto 14,2.5-3.5,43,553,46,6,"pale green, red","yellow, red","purplish green at the tips, and a brighter green on the bottom",High,Yes,Kerala,Mirza 
Garcinia mangostana,Mangosteen,6-25,0.72,1,73,8,1,yellowish-green with red,purple,dark green,High,Yes,Kerala,Mirza 
Articarpus heterophyllus,Jackfruit,15-20,1.53,12,95,3 continents,1,yellow green,Green,Green,High,Yes,Telangana,Aradhana
Annona reticulata,Custard apple,4.5-10,0.25-0.35,2,80-100,-,1,light green,Light green,light greeen,High,Yes,Telangana,Aradhana
Manilkara zapota,Sapodilla,upto 30,0.5-1 ,6,83,3 continents,2,white,brown,green ,high,yes,West Bengal ,Ayushi
Syzygium cumini,Malabar plum or java,upto 30,NA,2,60,Na,3,white,black and dark violet,green,medium,yes,West Bengal ,Ayushi
Pyrus communis L.,Pear,10-16 ,NA,more than 20,58,88,2,white,green/red/yellow/golden/brown,green,high,no,West Bengal,Aryaa
Citrus sinensis,Orange,5 to 15,NA,5,62,97,1 or 2-6 ,white,orange,deep green,high,no,West Bengal,Aryaa
